,0
0,01A193
1,01A208
2,04A158
3,04A293
4,04E090
5,05A021
6,05A024
7,05A027
8,05A109
9,05A110
10,05A134
11,05A137
12,05A147
13,05A164
14,05A183
15,05A192
16,05A208
17,05A263
18,05A264
19,05A269
20,05A277
21,05A290
22,05A292
23,05A315
24,05A331
25,05A340
26,05A355
27,05A357
28,05A360
29,05A364
30,05A371
31,05A396
32,05A397
33,05A408
34,05A427
35,06A088
36,06A171
37,06A172
38,06A173
39,06A175
40,06A185
41,06A190
42,06A192
43,06A196
44,08A006
45,08A011
46,08A015
47,08A020
48,09E020
49,106110
50,11A186
51,11A200
52,14A057
53,14A357
54,14A383
55,14A453
56,14A539
57,14E095
58,14E169
59,14E177
60,14E212
61,14E247
62,14E264
63,14E306
64,14E322
65,14E345
66,14E361
67,14E392
68,14E579
69,14E701
70,14E812
71,14E847
72,14E848
73,14E888
74,15A011
75,15E064
76,15E247
77,15E667
78,15E681
79,15E683
80,165788
81,16A001
82,16A002
83,16E016
84,16E050
85,16E071
86,16E170
87,16E176
88,16E263
89,16E277
90,16E637
91,16E638
92,16E668
93,16E718
94,16E728
95,16E756
96,16F001
97,16F002
98,17A020
99,17A029
100,17E011
101,17E026
102,17E034
103,17E038
104,17E071
105,17E183
106,17E197
107,17E210
108,17E242
109,17E256
110,17E294
111,17E356
112,17E424
113,17E445
114,17E451
115,17E470
116,17E473
117,17E488
118,17E528
119,17E531
120,17E534
121,17E546
122,17E577
123,17E580
124,17E585
125,17E589
126,17E591
127,17E597
128,17E619
129,17E625
130,17E630
131,17E637
132,17E658
133,21E009
134,21E104
135,22A345
136,23E104
137,23E281
138,23E362
139,24E102
140,24E116
141,24E150
142,24E166
143,24E185
144,24E355
145,24E507
146,24E508
147,25A123
148,25A162
149,25A174
150,25A178
151,25A188
152,25A190
153,25A197
154,25A233
155,25A374
156,25A380
157,25A381
158,25A389
159,25A402
160,25A404
161,25A414
162,25A416
163,25A418
164,25A422
165,25E015
166,25E115
167,26A206
168,26A269
169,26A292
170,26A293
171,26A378
172,26A381
173,26A443
174,26A469
175,26A484
176,26A490
177,26E084
178,26E256
179,27A052
180,28A060
181,28A065
182,28E173
183,28E175
184,28E180
185,28E191
186,28E199
187,28E257
188,28E271
189,28E299
190,28E300
191,28E301
192,29E021
193,29E037
194,30E059
195,30E062
196,30E076
197,32E027
198,32E032
199,335563
200,33A081
201,33A246
202,34A001
203,34A002
204,365272
