,Bad_ID
0,103304
1,102304
2,282316
3,162306
4,06A185
5,552805
6,432310
7,25A188
8,102302
9,50A174
10,262315
11,243525
12,242305
13,50A181
14,441320
15,261318
16,111337
17,000nan
18,521354
19,313302
20,000nan
21,000nan
22,511322
23,251337
24,263303
25,511321
26,341326
27,491308
28,341327
29,341328
30,341329
31,251333
32,221990
33,011306
34,261993
35,313300
36,213300
37,000nan
38,000nan
39,000nan
40,000nan
41,000nan
42,000nan
43,000nan
44,000nan
45,000nan
46,000nan
47,000nan
48,000nan
49,000nan
50,000nan
51,000nan
52,000nan
53,000nan
54,000nan
55,000nan
56,000nan
57,000nan
58,000nan
59,000nan
60,000nan
61,000nan
62,000nan
63,000nan
64,000nan
65,000nan
66,000nan
67,000nan
68,000nan
69,000nan
70,000nan
71,000nan
72,000nan
73,000nan
74,000nan
75,000nan
76,000nan
77,000nan
78,000nan
79,000nan
80,000nan
81,000nan
82,000nan
83,000nan
84,000nan
85,000nan
86,000nan
87,000nan
88,000nan
89,000nan
90,000nan
91,000nan
92,000nan
93,000nan
94,000nan
95,000nan
96,000nan
97,000nan
98,000nan
99,000nan
100,000nan
101,000nan
102,000nan
103,000nan
104,000nan
105,000nan
106,000nan
107,000nan
108,000nan
109,000nan
110,000nan
111,000nan
112,000nan
113,000nan
114,000nan
115,000nan
116,000nan
117,000nan
118,000nan
119,000nan
120,000nan
121,000nan
122,522327
123,452380
124,16E016
125,000nan
126,000nan
127,000nan
128,000nan
129,000nan
130,000nan
131,000nan
132,000nan
133,000nan
134,000nan
135,000nan
136,000nan
137,000nan
138,000nan
139,000nan
140,000nan
141,000nan
142,000nan
143,45069F
144,49008F
145,11083F
146,11033F
147,14003F
148,000nan
149,50014F
150,50005F
151,45063F
152,000nan
153,000nan
154,000nan
155,000nan
156,34014F
157,000nan
158,000nan
159,000nan
160,000nan
161,000nan
162,000nan
163,000nan
164,000nan
165,000nan
166,000nan
167,000nan
168,000nan
169,000nan
170,000nan
171,000nan
172,000nan
173,000nan
174,000nan
175,000nan
176,000nan
177,000nan
178,000nan
179,000nan
180,000nan
181,000nan
