,ProviderID,Fiscal_year_begin_date,Report_date,Termination_Date,Waiver_code,Intermediary_number,Provider_type,Current_Census_division,Change_code_for_reclass,Actual_Geographic_MSA,Wage_Index_MSA,Standardized_amount_MSA,Sole_community_or_Medicare,LUGAR,Temporary_relief_indicator,Federal_PPS_Blend_indicator,Facility_specific_rate,Cost_of_living_adjustment,Intern_to_bed_ratio,Bed_size,Cost-to-charge_ratio,Case_mix_index,SSI_ratio,Medicaid_ratio,Provider_PPS_period,Special_provider_update_factor,Operating_DSH_percent,Fiscal_year_end_date,Special_wage_index,Special_payment_indicator,Hospital_quality_indicator,Geographic_location_CBSA,Reclassification_CBSA,Standardized_amount_CBSA,Total_pass_through_amount_and_miscellaneous,Pass_through_amount_capital,Pass_through_amount_direct,Pass_through_amount_organ,Capital_PPS_pay_code,Capital_hospital_specific_rate,Capital_old_harmless_rate,Capital_new_harmless_ratio,Capital_cost-to-charge_ratio,New_hospital,Capital_indirect_medical,Capital_exception_payment,Supplemental_wage_index,Supplemental_wage_index_indicator,Value_based_purchasing_participant,Value_based_purchasing_adjustment,Hospital_readmission_reduction_program_participant,Hospital_readmission_reduction_adjustment,Model_1_bundle_percent,Hospital_acquired_condition_(HAC)_reduction_program_participant,Uncompensated_care_amount,Electronic_health_record_(EHR)_incentive_program_reduction_indicator,Low-volume_adjustment_factor,County_code,State_code,Medicare_performance_adjustment,LTCH_DPP_indicator
0,015009,07/01/2021,03/31/2022,,N,05901,38,5,N,01,01,01,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,01,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,0.992,0,0,0,,$0.00,,0,,01,0,
1,015010,07/01/2021,03/31/2022,,N,10111,38,5,,01,,,,,,4,$266.66,1,,0,0,,0,0,,,,06/30/2022,,,1,01,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.992,0,0,0,,$0.00,,0,,01,0,
2,015012,10/01/2021,03/31/2022,,N,10111,38,5,,01,,,,,,4,$161.85,1,,0,0,,0,0,,,,09/30/2022,,,1,01,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.992,0,0,0,,$0.00,,0,,01,0,
3,015014,07/01/2021,03/31/2022,,N,05901,38,5,N,1000,1000,1000,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,13820,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,1,0,0,0,,$0.00,,0,,01,0,
4,015015,07/01/2021,03/31/2022,,N,05901,38,5,N,1000,1000,1000,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,13820,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,0.992,0,0,0,,$0.00,,0,,01,0,
5,015016,07/01/2021,03/31/2022,,N,10111,38,5,,3440,,,,,,4,$168.93,1,,0,0,,0,0,,,,06/30/2022,,,1,26620,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.992,0,0,0,N,$0.00,,0,,01,0,
6,015019,01/01/2021,03/31/2022,,N,04011,38,6,,5240,,,,,,4,$300.01,1,,1,0,,0,0,,,,12/31/2021,,,1,33860,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.992,0,0,0,,$0.00,,0,01051,01,0,
7,015023,07/01/2021,03/31/2022,,N,10111,38,5,,01,,,,,,4,$0.00,1,,0,0,,0,0,,,,06/30/2022,,,1,13820,,,$0.00,,,,,0,0,0,0,,,0,,,N,1,0,0,0,,$0.00,,0,,01,0,
8,015024,07/01/2021,03/31/2022,,N,10111,38,5,,3440,,,,,,4,$162.32,1,,0,0,,0,0,,,,06/30/2022,,,1,26620,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.992,0,0,0,N,$0.00,,0,,01,0,
9,015027,07/01/2021,03/31/2022,,N,05901,38,5,N,5240,5240,5240,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,33860,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,0.992,0,0,0,,$0.00,,0,,01,0,
10,015028,01/01/2021,03/31/2022,,N,04011,38,6,,2650,,,,,,4,$0.00,1,,1,0,,0,0,,,,12/31/2021,,,1,22520,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.992,0,0,0,,$0.00,,0,01033,01,0,
11,015031,01/01/2021,03/31/2022,,N,10111,38,5,,2650,,,,,,4,$190.43,1,,0,0,,0,0,,,,12/31/2021,,,1,22520,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.992,0,0,0,N,$0.00,,0,,01,0,
12,015032,07/01/2018,03/31/2022,,N,01011,38,0,,5160,0000,0000,0,,,4,$292.47,0,,154,0,,0,0,,,,,,,1,19300,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.9812475729,0,0,0,,$0.00,,0,,01,0,
13,015034,07/01/2021,03/31/2022,,N,05901,38,5,N,8600,8600,8600,,,,4,$0.00,1,,100,1,1,0,0,,,,06/30/2022,,,1,46220,,,$0.00,,,,B,0,0,0,0.175,,,0,,,Y,0.992,0,0,0,,$0.00,,0,,01,0,
14,015035,07/01/2021,03/31/2022,,N,10111,38,5,,01,,,,,,4,$187.31,1,,60,0,,0,0,,,,06/30/2022,,,1,01,,,$0.00,,,,,0,0,0,0,,,0,,,N,0.992,0,0,0,,$0.00,,0,,01,0,
15,015037,01/01/2021,03/31/2022,,N,04911,38,6,N,5240,5240,5240,,,,4,$0.00,1,,100,0,1,0,0,,,,12/31/2021,,,1,33860,,,$0.00,,,,B,0,0,0,0,,,0,,,N,1,0,0,0,,$0.00,,0,01101,01,0,
