,Bad_IDs
0,01A193
1,01A208
2,04A158
3,04A293
4,04E090
5,05A021
6,05A024
7,05A027
8,05A109
9,05A110
10,05A134
11,05A137
12,05A147
13,05A164
14,05A183
15,05A192
16,05A208
17,05A263
18,05A264
19,05A269
20,05A277
21,05A290
22,05A292
23,05A315
24,05A331
25,05A340
26,05A355
27,05A357
28,05A360
29,05A364
30,05A371
31,05A396
32,05A397
33,05A408
34,05A427
35,06A088
36,06A171
37,06A172
38,06A173
39,06A175
40,06A185
41,06A190
42,06A192
43,06A196
44,08A006
45,08A011
46,08A015
47,08A020
48,09E020
49,106110
50,11A186
51,11A200
52,14A057
53,14A357
54,14A383
55,14A453
56,14A539
57,14E095
58,14E169
59,14E177
60,14E212
61,14E247
62,14E264
63,14E306
64,14E322
65,14E345
66,14E361
67,14E392
68,14E579
69,14E701
70,14E812
71,14E847
72,14E848
73,14E888
74,15A011
75,15E064
76,15E247
77,15E667
78,15E681
79,15E683
80,165788
81,16A001
82,16A002
83,16E016
84,16E050
85,16E071
86,16E170
87,16E176
88,16E263
89,16E277
90,16E637
91,16E638
92,16E668
93,16E718
94,16E728
95,16E756
96,16F001
97,16F002
98,17A020
99,17A029
100,17E011
101,17E026
102,17E034
103,17E038
104,17E071
105,17E183
106,17E197
107,17E210
108,17E242
109,17E256
110,17E294
111,17E356
112,17E424
113,17E445
114,17E451
115,17E470
116,17E473
117,17E488
118,17E528
119,17E531
120,17E534
121,17E546
122,17E577
123,17E580
124,17E585
125,17E589
126,17E591
127,17E597
128,17E619
129,17E625
130,17E630
131,17E637
132,17E658
133,21E009
134,21E104
135,22A345
136,23E104
137,23E281
138,23E362
139,24E102
140,24E116
141,24E150
142,24E166
143,24E185
144,24E355
145,24E507
146,24E508
147,25A123
148,25A162
149,25A174
150,25A178
151,25A188
152,25A190
153,25A197
154,25A233
155,25A374
156,25A380
157,25A381
158,25A389
159,25A402
160,25A404
161,25A414
162,25A416
163,25A418
164,25A422
165,25E015
166,25E115
167,26A206
168,26A269
169,26A292
170,26A293
171,26A378
172,26A381
173,26A443
174,26A469
175,26A484
176,26A490
177,26E084
178,26E256
179,27A052
180,28A060
181,28A065
182,28E173
183,28E175
184,28E180
185,28E191
186,28E199
187,28E257
188,28E271
189,28E299
190,28E300
191,28E301
192,29E021
193,29E037
194,30E059
195,30E062
196,30E076
197,32E027
198,32E032
199,335563
200,33A081
201,33A246
202,34A001
203,34A002
204,37E024
205,37E082
206,37E109
207,37E204
208,37E568
209,37E624
210,37E634
211,38A001
212,38A026
213,38A031
214,38E040
215,38E075
216,38E157
217,38E173
218,38E174
219,38E188
220,39A433
221,39A434
222,39A435
223,39A436
224,39A437
225,39A438
226,43A038
227,43A067
228,43A072
229,43A073
230,43A089
231,43A098
232,43A103
233,43A113
234,43A135
235,43A136
236,43A137
237,43A138
238,44E132
239,44E166
240,44E175
241,44E251
242,44E446
243,45E312
244,45E341
245,45E409
246,45E629
247,45E631
248,45E761
249,45E852
250,45E947
251,45F094
252,45F197
253,45F199
254,45F402
255,45F410
256,45F411
257,45F414
258,45F470
259,45F497
260,45F603
261,45F907
262,46A058
263,46A064
264,46A066
265,46A070
266,46A071
267,46A072
268,495428
269,495430
270,49A007
271,49A022
272,49E004
273,49E050
274,49E075
275,49E076
276,49E084
277,49E131
278,49E256
279,50A174
280,50A181
281,50A260
282,50A261
283,50A263
284,51A009
285,51A010
286,51A013
287,51E034
288,51E109
289,51E124
290,51E148
291,51E150
292,51E154
293,52A251
294,52A407
295,52A429
296,52A431
297,52A461
298,535013
299,535017
300,535019
301,535021
302,53A002
303,53A050
304,53A051
305,555819
