,ProviderID,Fiscal_year_begin_date,Report_date,Termination_Date,Waiver_code,Intermediary_number,Provider_type,Current_Census_division,Change_code_for_reclass,Actual_Geographic_MSA,Wage_Index_MSA,Standardized_amount_MSA,Sole_community_or_Medicare,LUGAR,Temporary_relief_indicator,Federal_PPS_Blend_indicator,Facility_specific_rate,Cost_of_living_adjustment,Intern_to_bed_ratio,Bed_size,Cost-to-charge_ratio,Case_mix_index,SSI_ratio,Medicaid_ratio,Provider_PPS_period,Special_provider_update_factor,Operating_DSH_percent,Fiscal_year_end_date,Special_wage_index,Special_payment_indicator,Hospital_quality_indicator,Geographic_location_CBSA,Reclassification_CBSA,Standardized_amount_CBSA,Total_pass_through_amount_and_miscellaneous,Pass_through_amount_capital,Pass_through_amount_direct,Pass_through_amount_organ,Capital_PPS_pay_code,Capital_hospital_specific_rate,Capital_old_harmless_rate,Capital_new_harmless_ratio,Capital_cost-to-charge_ratio,New_hospital,Capital_indirect_medical,Capital_exception_payment,Supplemental_wage_index,Supplemental_wage_index_indicator,Value_based_purchasing_participant,Value_based_purchasing_adjustment,Hospital_readmission_reduction_program_participant,Hospital_readmission_reduction_adjustment,Model_1_bundle_percent,Hospital_acquired_condition_(HAC)_reduction_program_participant,Uncompensated_care_amount,Electronic_health_record_(EHR)_incentive_program_reduction_indicator,Low-volume_adjustment_factor,County_code,State_code,Medicare_performance_adjustment,LTCH_DPP_indicator
0,010001,10/01/2021,03/31/2022,--,N,10111,07,5,Y,2180,01,01,--,--,--,--,"$1,918.13",1,0.0494,322,0.181,--,0.1029,0.1989,--,--,--,09/30/2022,0.856,2,1,20020,18880,01,$106.82,--,$46.13,--,C,0,0,0,0.012,--,0.1136,0,--,--,N,0,1,0.9903,0,N,$672.33,--,0,01069,01,0,--
1,010005,10/01/2021,03/31/2022,--,N,10111,07,5,Y,01,1000,01,--,--,--,--,"$1,532.63",1,--,191,0.35,--,0.0756,0.1987,--,--,--,09/30/2022,--,Y,1,01,13820,--,$52.65,--,--,--,B,0,0,0,0.029,--,--,0,--,--,N,0,1,0.9985,0,Y,$912.95,--,0,01095,01,0,--
2,010006,07/01/2021,03/31/2022,--,N,10111,07,5,N,2650,--,--,--,--,--,--,"$2,210.36",1,0.1125,263,0.148,--,0.0643,0.1412,--,--,--,06/30/2022,--,Y,1,22520,26620,01,$121.61,--,$83.99,--,B,0,475,0.2462,0.021,--,0.1502,0,--,--,N,0,1,0.984,0,N,$327.96,--,0,01077,01,0,--
3,010007,10/01/2021,03/31/2022,--,N,10111,14,5,--,01,--,--,--,--,Y,--,"$4,232.08",1,--,41,0.372,--,0.1001,0.1154,--,--,--,09/30/2022,--,--,1,01,--,--,$19.85,--,--,--,B,429.29,200,0.3886,0.031,--,--,0,--,--,N,0,1,0.9949,0,N,$503.44,--,0.201364,01039,01,0,--
4,010008,01/01/2022,03/31/2022,--,N,10111,00,5,--,01,--,--,--,--,Y,--,"$4,587.15",1,--,28,0.32,--,0.0935,0.0612,--,--,--,12/31/2022,--,--,1,01,--,--,$57.77,--,--,--,C,212.77,0,0,0.007,--,--,0,--,--,N,0,1,1,0,N,$58.17,--,0.25,01041,01,0,--
5,010011,07/01/2021,03/31/2022,--,N,10111,00,5,--,1000,--,--,--,--,--,--,"$2,191.91",1,0.0452,297,0.177,--,0.0609,0.1297,--,--,--,06/30/2022,--,--,1,13820,--,--,$87.30,--,$72.65,--,B,0,500,0.3733,0.019,--,0.0676,0,--,--,N,0,1,0.9905,0,N,"$1,471.06",--,0,01073,01,0,--
6,010012,04/01/2021,03/31/2022,--,N,05901,16,5,--,01,--,--,82,--,Y,--,"$5,288.41",1,--,95,0.129,--,0.0736,0.2538,--,--,--,03/31/2022,--,--,1,01,--,--,$0.00,--,--,--,B,0,0,0,0.005,--,--,0,--,--,N,0,1,0.9953,0,N,$554.16,--,0.078712,01049,01,0,--
7,010016,01/01/2022,03/31/2022,--,N,10111,00,5,N,1000,1000,1000,--,--,--,--,"$2,232.42",1,--,204,0.108,--,0.053,0.1595,--,--,--,12/31/2022,--,--,1,13820,--,--,$30.95,--,--,--,B,0,0,0,0.008,--,--,0,--,--,N,0,1,0.998,0,N,$950.22,--,0,01117,01,0,--
8,010019,10/01/2021,03/31/2022,--,N,10111,00,5,N,2650,2650,2650,--,--,--,--,"$1,721.16",1,--,173,0.238,--,0.0651,0.2118,--,--,--,09/30/2022,--,--,1,22520,--,--,$55.99,--,--,--,B,0,325,0.33,0.01,--,--,0,--,--,N,0,1,0.9758,0,N,$554.69,--,0,01033,01,0,--
9,010021,10/01/2021,03/31/2022,--,N,10111,00,5,--,01,--,--,--,--,Y,--,"$1,781.85",1,--,75,0.388,--,0.1937,0.1611,--,--,--,09/30/2022,--,--,1,01,--,--,$115.32,--,--,--,C,162.14,0,0,0.015,--,--,0,--,--,N,0,1,0.9974,0,Y,"$1,426.64",--,0.195379,01045,01,0,--
