,Name,SafetyGrade,ZIP,Latitude,Longitude,Distance,Address
0,Alaska Regional Hospital,A,99508,61.210404,-149.8286335,7918.0198498343,"2801 DEBARR ROAD, Anchorage, AK 99508-2997"
1,Mat-Su Regional Medical Center,B,99645,61.562971,-149.2578179,7887.2712026392,"2500 South Woodworth Loop, Palmer, AK 99645"
2,Bartlett Regional Hospital,C,99801,58.328916,-134.4650653,7708.9709345946,"3260 Hospital Drive, Juneau, AK 99801-7808"
3,Central Peninsula General Hospital,C,99669,60.4934413,-151.0780122,7982.4571687651,"250 Hospital Place, Soldotna, AK 99669-6999"
4,Fairbanks Memorial Hospital,C,99701,64.8311569,-147.7399472,7674.3740755271,"1650 Cowles Street, Fairbanks, AK 99701-5998"
5,Providence Alaska Medical Center,C,99508,61.189803,-149.8187667,7919.0242631747,"3200 Providence Drive, Anchorage, AK 99508"
6,Ascension Providence,A,36608,30.6782817,-88.1985523,6111.0615616372,"6801 Airport Boulevard, Mobile, AL 36608-3785"
7,Evergreen Medical Center,A,36401,31.4307995,-86.9404629,6037.7560708086,"101 Crestview Avenue, Evergreen, AL 36401-0706"
8,Fayette Medical Center,A,35555,33.7085114,-87.8245026,6093.0746862807,"1653 Temple Avenue N, Fayette, AL 35555-1314"
9,Grandview Medical Center,A,35243,33.4326147,-86.7185683,6028.9307006448,"3690 Grandview Parkway, Birmingham, AL 35243"
10,Mizell Memorial Hospital,A,36467,31.2919852,-86.2542062,5996.9924536332,"702 North Main Street, Opp, AL 36467"
11,Monroe County Hospital,A,36460,31.498257,-87.3206816,6060.277046885,"2016 S. Alabama Avenue, Monroeville, AL 36460"
12,South Baldwin Regional Medical Center,A,36535,30.4260938,-87.6843079,6080.1519541927,"1613 N. McKenzie Street, Foley, AL 36535-2299"
13,Southeast Health Medical Center,A,36301,31.2167252,-85.3630676,5944.1996039266,"1108 Ross Clark Circle, Dothan, AL 36301-3024"
14,Troy Regional Medical Center,A,36081,31.7811497,-85.9449087,5979.9954135171,"1330 Highway 231 S., Troy, AL 36081-1224"
15,Coosa Valley Medical Center,B,35150,33.1644285,-86.2555388,6001.5833157235,"315 W. Hickory Street, Sylacauga, AL 35150-2996"
